pk,season,type,startDate,endDate,status,teamAwayID,teamHomeID
2019020501,20192020,R,2019-12-14T18:00:00Z,2019-12-14T20:46:51Z,Final,29,9
2019020502,20192020,R,2019-12-14T18:00:00Z,2019-12-14T20:34:49Z,Final,7,2
2019020503,20192020,R,2019-12-14T21:00:00Z,2019-12-14T23:37:12Z,Final,12,20
2019020504,20192020,R,2019-12-14T21:00:00Z,2019-12-14T23:46:58Z,Final,3,24
2019020505,20192020,R,2019-12-14T23:30:00Z,2019-12-15T02:06:33Z,Final,25,18
2019020506,20192020,R,2019-12-15T00:00:00Z,2019-12-15T02:44:07Z,Final,17,8
2019020507,20192020,R,2019-12-15T00:00:00Z,2019-12-15T02:37:12Z,Final,15,14
2019020508,20192020,R,2019-12-15T00:00:00Z,2019-12-15T02:45:04Z,Final,6,13
2019020509,20192020,R,2019-12-15T00:00:00Z,2019-12-15T02:55:34Z,Final,26,5
2019020510,20192020,R,2019-12-15T00:00:00Z,2019-12-15T02:32:05Z,Final,4,30
2019020511,20192020,R,2019-12-15T00:00:00Z,2019-12-15T02:51:01Z,Final,10,22
2019020512,20192020,R,2019-12-15T01:00:00Z,2019-12-15T03:29:41Z,Final,16,19
2019020513,20192020,R,2019-12-15T01:00:00Z,2019-12-15T03:42:20Z,Final,1,53
2019020514,20192020,R,2019-12-15T03:00:00Z,2019-12-15T05:36:02Z,Final,23,28
2019020515,20192020,R,2019-12-15T22:00:00Z,2019-12-16T00:35:00Z,Final,4,52
2019020516,20192020,R,2019-12-16T00:00:00Z,2019-12-16T02:29:21Z,Final,26,17
2019020517,20192020,R,2019-12-16T00:00:00Z,2019-12-16T02:46:54Z,Final,30,16
2019020518,20192020,R,2019-12-16T01:00:00Z,2019-12-16T03:56:33Z,Final,23,54
2019020519,20192020,R,2019-12-17T00:00:00Z,2019-12-17T02:40:05Z,Final,9,13
2019020520,20192020,R,2019-12-17T00:00:00Z,2019-12-17T02:40:46Z,Final,18,3
2019020521,20192020,R,2019-12-17T00:00:00Z,2019-12-17T02:43:34Z,Final,15,29
2019020522,20192020,R,2019-12-17T01:00:00Z,2019-12-17T03:32:11Z,Final,21,19
2019020523,20192020,R,2019-12-17T01:30:00Z,2019-12-17T03:53:54Z,Final,22,25
2019020524,20192020,R,2019-12-18T00:00:00Z,2019-12-18T02:51:59Z,Final,26,6
2019020525,20192020,R,2019-12-18T00:00:00Z,2019-12-18T02:30:11Z,Final,7,10
2019020526,20192020,R,2019-12-18T00:00:00Z,2019-12-18T02:40:07Z,Final,9,14
2019020527,20192020,R,2019-12-18T00:00:00Z,2019-12-18T02:41:28Z,Final,18,2
2019020528,20192020,R,2019-12-18T00:00:00Z,2019-12-18T02:35:37Z,Final,24,4
2019020529,20192020,R,2019-12-18T00:30:00Z,2019-12-18T03:04:56Z,Final,29,17
2019020530,20192020,R,2019-12-18T01:00:00Z,2019-12-18T03:36:12Z,Final,12,52
2019020531,20192020,R,2019-12-18T02:00:00Z,2019-12-18T04:30:16Z,Final,5,20
2019020532,20192020,R,2019-12-18T03:00:00Z,2019-12-18T05:37:14Z,Final,8,23
2019020533,20192020,R,2019-12-18T03:00:00Z,2019-12-18T05:37:26Z,Final,30,54
2019020534,20192020,R,2019-12-18T03:30:00Z,2019-12-18T06:01:52Z,Final,53,28
2019020535,20192020,R,2019-12-19T00:00:00Z,2019-12-19T02:31:59Z,Final,24,1
2019020536,20192020,R,2019-12-19T01:00:00Z,2019-12-19T03:41:37Z,Final,21,16
2019020537,20192020,R,2019-12-19T01:30:00Z,2019-12-19T04:10:21Z,Final,22,19
2019020538,20192020,R,2019-12-20T00:00:00Z,2019-12-20T02:47:40Z,Final,2,6
2019020539,20192020,R,2019-12-20T00:00:00Z,2019-12-20T02:47:25Z,Final,25,14
2019020540,20192020,R,2019-12-20T00:00:00Z,2019-12-20T02:30:21Z,Final,7,4
2019020541,20192020,R,2019-12-20T00:00:00Z,2019-12-20T02:42:29Z,Final,26,29
2019020542,20192020,R,2019-12-20T00:30:00Z,2019-12-20T03:18:59Z,Final,18,9
2019020543,20192020,R,2019-12-20T01:00:00Z,2019-12-20T03:30:23Z,Final,16,52
2019020544,20192020,R,2019-12-20T02:00:00Z,2019-12-20T04:38:15Z,Final,12,21
2019020545,20192020,R,2019-12-20T02:00:00Z,2019-12-20T04:49:23Z,Final,8,20
2019020546,20192020,R,2019-12-20T02:30:00Z,2019-12-20T05:13:45Z,Final,30,53
2019020547,20192020,R,2019-12-20T03:00:00Z,2019-12-20T05:44:12Z,Final,54,23
2019020548,20192020,R,2019-12-21T00:00:00Z,2019-12-21T02:39:33Z,Final,25,13
2019020549,20192020,R,2019-12-21T00:00:00Z,2019-12-21T02:36:31Z,Final,15,1
2019020550,20192020,R,2019-12-21T00:00:00Z,2019-12-21T02:32:19Z,Final,10,3
2019020551,20192020,R,2019-12-21T02:00:00Z,2019-12-21T04:31:17Z,Final,5,22
2019020552,20192020,R,2019-12-21T18:00:00Z,2019-12-21T20:34:16Z,Final,26,7
2019020553,20192020,R,2019-12-21T18:00:00Z,2019-12-21T20:51:08Z,Final,24,2
2019020554,20192020,R,2019-12-21T19:00:00Z,2019-12-21T21:33:26Z,Final,52,30
2019020555,20192020,R,2019-12-22T00:00:00Z,2019-12-22T02:49:47Z,Final,18,6
2019020556,20192020,R,2019-12-22T00:00:00Z,2019-12-22T02:38:21Z,Final,17,10
2019020557,20192020,R,2019-12-22T00:00:00Z,2019-12-22T02:56:07Z,Final,4,9
2019020558,20192020,R,2019-12-22T00:00:00Z,2019-12-22T02:41:33Z,Final,14,15
2019020559,20192020,R,2019-12-22T00:00:00Z,2019-12-22T02:39:00Z,Final,13,12
2019020560,20192020,R,2019-12-22T00:00:00Z,2019-12-22T02:36:33Z,Final,1,29
2019020561,20192020,R,2019-12-22T00:00:00Z,2019-12-22T02:42:19Z,Final,8,22
2019020562,20192020,R,2019-12-22T02:00:00Z,2019-12-22T04:36:44Z,Final,16,21
2019020563,20192020,R,2019-12-22T03:00:00Z,2019-12-22T05:39:18Z,Final,5,23
2019020564,20192020,R,2019-12-22T03:30:00Z,2019-12-22T06:03:30Z,Final,19,28
2019020565,20192020,R,2019-12-22T17:30:00Z,2019-12-22T20:09:51Z,Final,24,3
2019020566,20192020,R,2019-12-23T00:00:00Z,2019-12-23T02:32:04Z,Final,53,17
2019020567,20192020,R,2019-12-23T00:00:00Z,2019-12-23T02:40:51Z,Final,20,25
2019020568,20192020,R,2019-12-23T03:00:00Z,2019-12-23T05:33:51Z,Final,54,28
2019020569,20192020,R,2019-12-23T19:00:00Z,2019-12-23T21:37:07Z,Final,12,10
2019020570,20192020,R,2019-12-23T22:00:00Z,2019-12-24T00:32:24Z,Final,20,30
2019020571,20192020,R,2019-12-24T00:00:00Z,2019-12-24T03:07:10Z,Final,15,6
2019020572,20192020,R,2019-12-24T00:00:00Z,2019-12-24T02:36:22Z,Final,13,14
2019020573,20192020,R,2019-12-24T00:00:00Z,2019-12-24T02:31:11Z,Final,29,2
2019020574,20192020,R,2019-12-24T00:00:00Z,2019-12-24T02:55:56Z,Final,3,4
2019020575,20192020,R,2019-12-24T00:30:00Z,2019-12-24T03:08:46Z,Final,7,9
2019020576,20192020,R,2019-12-24T01:00:00Z,2019-12-24T03:31:37Z,Final,53,18
2019020577,20192020,R,2019-12-24T01:00:00Z,2019-12-24T03:40:38Z,Final,8,52
2019020578,20192020,R,2019-12-24T01:30:00Z,2019-12-24T04:06:42Z,Final,1,16
2019020579,20192020,R,2019-12-24T03:00:00Z,2019-12-24T05:31:26Z,Final,22,23
2019020580,20192020,R,2019-12-24T03:00:00Z,2019-12-24T05:47:46Z,Final,21,54
2019020581,20192020,R,2019-12-24T03:00:00Z,2019-12-24T05:32:11Z,Final,19,26
2019020582,20192020,R,2019-12-28T00:00:00Z,2019-12-28T02:31:26Z,Final,6,7
2019020583,20192020,R,2019-12-28T00:00:00Z,2019-12-28T02:44:21Z,Final,10,1
2019020584,20192020,R,2019-12-28T00:00:00Z,2019-12-28T02:42:13Z,Final,12,3
2019020585,20192020,R,2019-12-28T00:00:00Z,2019-12-28T02:40:52Z,Final,29,15
2019020586,20192020,R,2019-12-28T01:00:00Z,2019-12-28T03:39:06Z,Final,5,18
2019020587,20192020,R,2019-12-28T01:00:00Z,2019-12-28T03:36:44Z,Final,19,52
2019020588,20192020,R,2019-12-28T01:00:00Z,2019-12-28T03:45:12Z,Final,30,21
2019020589,20192020,R,2019-12-28T01:30:00Z,2019-12-28T04:08:06Z,Final,2,16
2019020590,20192020,R,2019-12-28T02:00:00Z,2019-12-28T04:30:04Z,Final,20,22
2019020591,20192020,R,2019-12-28T03:00:00Z,2019-12-28T05:29:17Z,Final,54,24
2019020592,20192020,R,2019-12-28T03:00:00Z,2019-12-28T05:27:23Z,Final,26,28
2019020593,20192020,R,2019-12-29T00:00:00Z,2019-12-29T02:50:48Z,Final,3,10
2019020594,20192020,R,2019-12-29T00:00:00Z,2019-12-29T02:53:23Z,Final,8,14
2019020595,20192020,R,2019-12-29T00:00:00Z,2019-12-29T02:39:04Z,Final,17,13
2019020596,20192020,R,2019-12-29T00:00:00Z,2019-12-29T02:46:26Z,Final,18,5
2019020597,20192020,R,2019-12-29T00:00:00Z,2019-12-29T02:56:22Z,Final,15,12
2019020598,20192020,R,2019-12-29T00:00:00Z,2019-12-29T02:52:46Z,Final,21,25
2019020599,20192020,R,2019-12-29T03:00:00Z,2019-12-29T05:30:33Z,Final,26,23
2019020600,20192020,R,2019-12-29T03:00:00Z,2019-12-29T05:37:44Z,Final,53,54
