pk,season,type,startDate,endDate,status,teamAwayID,teamHomeID
2021020001,20212022,R,2021-10-12T23:30:00Z,2021-10-13T02:17:13Z,Final,5,14
2021020002,20212022,R,2021-10-13T02:00:00Z,2021-10-13T04:51:44Z,Final,55,54
2021020003,20212022,R,2021-10-13T23:00:00Z,2021-10-14T02:19:11Z,Final,8,10
2021020004,20212022,R,2021-10-13T23:30:00Z,2021-10-14T02:09:32Z,Final,3,15
2021020005,20212022,R,2021-10-14T02:00:00Z,2021-10-14T04:48:08Z,Final,16,21
2021020006,20212022,R,2021-10-14T02:00:00Z,2021-10-14T04:58:21Z,Final,23,22
2021020007,20212022,R,2021-10-14T23:00:00Z,2021-10-15T01:41:10Z,Final,8,7
2021020008,20212022,R,2021-10-14T23:00:00Z,2021-10-15T01:41:21Z,Final,10,9
2021020009,20212022,R,2021-10-14T23:30:00Z,2021-10-15T02:36:37Z,Final,14,17
2021020010,20212022,R,2021-10-14T23:00:00Z,2021-10-15T01:50:37Z,Final,5,13
2021020011,20212022,R,2021-10-14T23:00:00Z,2021-10-15T01:54:29Z,Final,25,3
2021020012,20212022,R,2021-10-14T23:00:00Z,2021-10-15T02:00:50Z,Final,2,12
2021020013,20212022,R,2021-10-14T23:00:00Z,2021-10-15T01:48:23Z,Final,53,29
2021020014,20212022,R,2021-10-15T00:00:00Z,2021-10-15T02:48:11Z,Final,55,18
2021020015,20212022,R,2021-10-14T02:00:00Z,2021-10-14T04:45:06Z,Final,52,24
2021020016,20212022,R,2021-10-15T02:30:00Z,2021-10-15T05:17:39Z,Final,54,26
2021020017,20212022,R,2021-10-15T23:00:00Z,2021-10-16T01:42:46Z,Final,16,1
2021020018,20212022,R,2021-10-15T23:00:00Z,2021-10-16T01:58:45Z,Final,23,4
2021020019,20212022,R,2021-10-16T02:00:00Z,2021-10-16T04:42:29Z,Final,30,24
2021020020,20212022,R,2021-10-16T23:00:00Z,2021-10-17T01:46:11Z,Final,25,6
2021020021,20212022,R,2021-10-16T17:00:00Z,2021-10-16T19:35:52Z,Final,53,7
2021020022,20212022,R,2021-10-16T23:00:00Z,2021-10-17T01:44:54Z,Final,9,10
2021020023,20212022,R,2021-10-16T23:00:00Z,2021-10-17T01:58:48Z,Final,3,8
2021020024,20212022,R,2021-10-16T23:00:00Z,2021-10-17T01:53:51Z,Final,23,17
2021020025,20212022,R,2021-10-16T22:00:00Z,2021-10-17T00:46:47Z,Final,2,13
2021020026,20212022,R,2021-10-16T23:00:00Z,2021-10-17T01:30:34Z,Final,16,5
2021020027,20212022,R,2021-10-16T23:00:00Z,2021-10-17T01:53:27Z,Final,14,15
2021020028,20212022,R,2021-10-16T23:00:00Z,2021-10-17T01:34:49Z,Final,55,29
2021020029,20212022,R,2021-10-17T00:00:00Z,2021-10-17T02:44:51Z,Final,12,18
2021020030,20212022,R,2021-10-17T01:00:00Z,2021-10-17T03:43:20Z,Final,19,21
2021020031,20212022,R,2021-10-17T02:00:00Z,2021-10-17T04:47:20Z,Final,20,22
2021020032,20212022,R,2021-10-17T02:30:00Z,2021-10-17T05:06:11Z,Final,30,26
2021020033,20212022,R,2021-10-17T02:00:00Z,2021-10-17T04:37:57Z,Final,52,28
