,Player,Goals_21,ixG_21
0,Johnny Gaudreau,26,16.84
1,Auston Matthews,38,24.65
2,Matthew Tkachuk,26,20.18
3,Kirill Kaprizov,25,16.92
4,Mitchell Marner,22,12.56
5,Michael Bunting,21,20.26
6,Connor McDavid,22,22.75
7,Steven Stamkos,22,11.7
8,Leon Draisaitl,26,15.23
9,Vladimir Tarasenko,26,15.44
10,Kevin Fiala,23,16.58
11,Timo Meier,20,21.98
12,Jason Robertson,22,14.58
13,Jonathan Huberdeau,17,14.55
14,Ryan Hartman,27,14.53
15,Nathan MacKinnon,23,16.12
16,Jordan Kyrou,22,12.69
17,Jesper Bratt,21,14.54
18,Patrick Kane,15,11.88
19,Jake Guentzel,25,19.53
20,Robert Thomas,12,10.66
21,Joe Pavelski,14,16.08
22,Alex Ovechkin,24,16.27
23,Roman Josi,10,8.15
24,Nazem Kadri,16,11.82
25,Andre Burakovsky,18,9.52
26,Artemi Panarin,13,8.99
27,Matt Duchene,21,14.17
28,Jeff Skinner,25,20.93
29,J.T. Miller,19,14.4
30,Elias Lindholm,25,17.19
31,Dylan Larkin,22,14.57
32,Conor Garland,17,16.05
33,Carter Verhaeghe,21,15.87
34,Kyle Connor,28,17.16
35,Mikko Rantanen,17,14.49
36,Tage Thompson,24,14.7
37,Filip Forsberg,26,14.87
38,Ivan Barbashev,17,10.77
39,Alexander Kerfoot,11,9.69
40,Sam Reinhart,14,15.86
41,David Pastrnak,22,15.64
42,Cale Makar,13,7.76
43,Brad Marchand,18,14.96
44,Mats Zuccarello,16,7.6
45,Chandler Stephenson,11,7.99
46,Troy Terry,23,16.74
47,Pavel Buchnevich,15,10.78
48,Travis Konecny,12,14.1
49,Clayton Keller,18,10.42
50,Brady Tkachuk,15,16.33
51,Taylor Hall,10,11.53
52,Phillip Danault,24,17.65
53,William Nylander,18,14.96
54,Nick Schmaltz,14,8.26
55,Mason Marchment,15,13.01
56,Trevor Zegras,12,12.93
57,Sidney Crosby,15,13.6
58,John Tavares,15,19.59
59,Mika Zibanejad,12,11.49
60,Tomas Hertl,18,14.8
