,Player,Goals_18,ixG_18,Goals_19,ixG_19
0,Nikita Kucherov,24,12.89,20.0,12.54
1,Patrick Kane,26,16.63,19.0,14.22
2,Connor McDavid,24,17.68,21.0,14.85
3,Sidney Crosby,19,18.44,9.0,6.74
4,John Tavares,33,23.02,13.0,13.94
5,Johnny Gaudreau,23,17.12,11.0,12.47
6,Leon Draisaitl,28,13.98,22.0,13.7
7,Artemi Panarin,19,10.71,21.0,11.41
8,Mitchell Marner,16,12.83,7.0,8.64
9,Jake Guentzel,31,17.4,13.0,8.83
10,Max Domi,22,14.16,12.0,11.54
11,Brayden Point,19,16.83,17.0,11.45
12,Claude Giroux,16,10.44,11.0,10.19
13,Alex Ovechkin,28,16.93,27.0,15.64
14,Sean Monahan,20,14.9,11.0,13.6
15,Brad Marchand,18,14.1,21.0,10.48
16,Steven Stamkos,22,11.01,14.0,9.83
17,Tomas Tatar,20,14.07,10.0,10.2
18,Aleksander Barkov,18,13.88,13.0,10.07
19,David Krejci,12,9.69,5.0,5.67
20,Jonathan Huberdeau,16,14.42,15.0,9.65
21,Nathan MacKinnon,23,16.43,18.0,14.42
22,Jack Eichel,16,15.32,17.0,11.31
23,Timo Meier,22,20.58,17.0,15.87
24,Auston Matthews,23,18.57,30.0,17.77
25,Matt Duchene,22,14.07,8.0,9.54
26,Tyler Seguin,19,18.7,9.0,13.67
27,Mark Stone,22,14.78,13.0,13.85
28,Tomas Hertl,17,13.91,10.0,10.35
29,Evgenii Dadonov,16,14.54,11.0,11.24
30,Cam Atkinson,25,18.56,6.0,8.66
31,Brett Connolly,21,13.56,15.0,7.52
32,Alex DeBrincat,24,13.02,7.0,11.89
33,Pierre-Luc Dubois,20,15.77,15.0,11.15
34,Phil Kessel,15,13.06,5.0,8.73
35,Jonathan Toews,19,14.75,11.0,10.37
36,Ryan O'Reilly,18,16.21,7.0,7.95
37,Evgeny Kuznetsov,8,10.45,13.0,8.26
38,Mark Scheifele,20,12.82,13.0,12.34
39,Sean Couturier,21,13.69,15.0,13.36
40,Morgan Rielly,15,6.89,2.0,3.8
41,Sam Reinhart,17,14.49,16.0,10.12
42,Brent Burns,6,7.42,7.0,6.16
43,Jeff Skinner,27,19.01,14.0,13.11
44,Brendan Gallagher,28,25.08,19.0,19.53
45,Alex Tuch,14,13.32,5.0,6.68
46,Mikko Rantanen,11,10.58,9.0,5.75
47,Nicklas Backstrom,13,9.67,5.0,6.93
48,Logan Couture,17,12.93,10.0,5.71
49,Gustav Nyquist,16,14.03,4.0,7.28
50,Ryan Johansen,10,12.36,10.0,8.51
51,Dylan Larkin,16,16.46,12.0,11.96
52,Matthew Tkachuk,17,14.42,12.0,13.41
53,Mark Giordano,10,5.97,2.0,3.95
54,Evgeni Malkin,11,11.98,16.0,10.73
55,Blake Wheeler,13,12.83,14.0,11.18
56,Teuvo Teravainen,11,10.48,8.0,9.21
57,Jakub Vrana,22,13.63,22.0,13.32
58,Sebastian Aho,14,17.81,21.0,13.13
59,Alexander Radulov,17,14.11,7.0,9.88
60,Evander Kane,21,19.04,9.0,13.44
61,Ryan Dzingel,20,12.51,3.0,7.47
62,Andrew Shaw,16,13.79,2.0,3.49
63,Mika Zibanejad,14,11.85,19.0,10.88
64,Phillip Danault,10,11.58,11.0,11.51
65,David Pastrnak,20,12.69,25.0,15.08
66,Mathew Barzal,14,12.79,13.0,12.41
67,Elias Pettersson,14,8.32,18.0,11.31
68,Josh Bailey,12,9.47,8.0,6.53
69,Elias Lindholm,13,10.7,17.0,8.63
70,Travis Konecny,18,13.66,18.0,11.1
71,Mikael Backlund,16,15.67,8.0,12.54
72,Chris Kreider,19,14.37,14.0,9.96
73,Vladimir Tarasenko,19,17.28,1.0,1.51
74,William Karlsson,15,12.91,11.0,11.94
75,Jonathan Marchessault,15,16.08,13.0,14.36
76,Tyler Bertuzzi,15,11.65,16.0,12.01
77,Dylan Strome,12,8.64,8.0,7.01
78,Patrice Bergeron,14,11.92,13.0,9.0
79,Joe Pavelski,21,17.07,5.0,9.99
80,Jamie Benn,18,13.93,8.0,11.58
81,Jakub Voracek,12,10.82,7.0,7.22
82,Brock Nelson,19,13.71,15.0,12.58
83,Kevin Hayes,10,10.84,12.0,11.4
84,Gabriel Landeskog,17,14.21,10.0,10.98
85,Andreas Johnsson,16,9.75,3.0,5.25
86,Brayden Schenn,10,15.51,14.0,7.87
87,Nino Niederreiter,17,15.88,7.0,9.66
88,Erik Gustafsson,9,5.17,4.0,3.71
89,Kyle Connor,18,13.52,21.0,13.92
90,Justin Williams,12,17.61,5.0,2.91
91,Zach Parise,15,14.98,9.0,11.37
92,Anze Kopitar,17,11.91,12.0,9.16
93,Ryan McDonagh,7,5.21,0.0,1.99
94,Tyler Johnson,23,14.14,12.0,9.66
95,Ryan Nugent-Hopkins,15,13.75,15.0,10.68
96,Yanni Gourde,14,11.07,6.0,8.62
97,Andreas Athanasiou,21,13.74,7.0,8.34
98,Josh Anderson,20,16.25,1.0,4.42
99,Kasperi Kapanen,14,14.9,10.0,7.57
100,Viktor Arvidsson,25,13.21,11.0,8.89
101,Thomas Chabot,10,6.38,6.0,5.94
102,Duncan Keith,5,4.9,0.0,2.82
103,T.J. Oshie,15,10.32,13.0,9.48
104,John Carlson,8,5.27,11.0,5.6
105,Roman Josi,9,8.48,10.0,7.54
106,Cody Eakin,17,9.08,4.0,5.35
107,Zach Hyman,14,14.88,12.0,11.58
108,Jonathan Drouin,11,9.5,6.0,3.85
109,Bo Horvat,15,14.63,6.0,11.51
110,Kevin Labanc,13,10.58,11.0,12.8
111,Dominik Kahun,11,10.43,10.0,5.87
112,Eric Staal,14,15.88,13.0,8.98
113,Ryan Getzlaf,11,7.62,9.0,8.8
114,Kris Letang,10,6.5,6.0,5.34
115,Reilly Smith,13,12.89,17.0,12.21
116,Joonas Donskoi,13,11.83,10.0,8.84
117,Brandon Saad,14,14.26,16.0,12.21
118,Filip Forsberg,15,15.74,12.0,11.35
119,Chris Tierney,6,7.77,5.0,7.51
120,Oliver Bjorkstrand,19,11.23,18.0,10.82
121,Colin White,8,10.68,5.0,6.8
122,Brock Boeser,16,11.17,10.0,10.6
123,Brady Tkachuk,17,17.35,17.0,22.6
124,Joe Thornton,10,6.7,4.0,5.41
125,Dustin Brown,10,11.29,13.0,11.8
126,Carl Soderberg,15,12.81,9.0,10.26
127,Anders Lee,15,15.89,15.0,16.99
128,Boone Jenner,12,12.62,7.0,11.91
129,Artturi Lehkonen,11,12.91,12.0,11.75
130,Travis Zajac,12,9.13,6.0,6.72
131,Paul Stastny,10,11.67,10.0,13.85
132,Nick Foligno,15,8.73,8.0,10.11
133,Jared Spurgeon,10,4.71,8.0,4.1
134,Tyson Barrie,11,7.88,4.0,5.2
135,Craig Smith,17,13.59,14.0,13.23
136,Artem Anisimov,13,12.99,9.0,6.99
137,David Perron,14,7.43,11.0,8.32
138,Max Pacioretty,16,13.19,20.0,18.54
139,Jake Muzzin,8,4.44,6.0,3.69
140,Nazem Kadri,11,12.01,15.0,7.16
141,Jaden Schwartz,7,11.87,9.0,10.74
142,Tom Wilson,15,10.9,9.0,11.83
143,Vinnie Hinostroza,11,13.0,5.0,8.17
144,Jesperi Kotkaniemi,10,8.82,5.0,3.2
145,Jason Pominville,15,9.54,,
146,Jeff Petry,6,5.28,4.0,4.74
147,Antoine Roussel,8,8.31,6.0,4.97
148,Mike Hoffman,15,10.42,14.0,7.21
149,Kyle Palmieri,16,10.37,13.0,10.57
150,Richard Panik,11,11.65,9.0,5.58
151,Mikael Granlund,10,12.37,9.0,9.44
152,Jimmy Vesey,13,13.44,8.0,9.26
153,Nico Hischier,11,11.63,11.0,9.09
154,Bryan Little,8,8.28,1.0,0.58
155,Michael Frolik,12,10.19,4.0,4.9
156,Alex Killorn,12,11.47,16.0,6.98
157,James van Riemsdyk,14,9.14,15.0,11.52
158,Lars Eller,10,12.74,10.0,12.39
159,Mikkel Boedker,5,6.91,1.0,2.18
160,Ryan Ellis,4,4.37,3.0,2.63
161,Mattias Ekholm,4,4.84,7.0,5.27
162,Bryan Rust,15,12.73,16.0,11.43
163,Marcus Sorensen,15,11.52,6.0,8.67
164,Oskar Sundqvist,12,10.87,11.0,8.66
165,Darnell Nurse,8,6.96,4.0,5.91
166,Nikolaj Ehlers,16,11.09,18.0,11.45
167,Kevin Fiala,10,14.06,13.0,8.74
168,Oskar Lindblom,13,12.71,8.0,5.56
169,Valtteri Filppula,14,6.77,4.0,5.55
170,Nick Bonino,13,6.25,16.0,9.67
171,Tyler Bozak,9,10.02,10.0,7.45
172,Jason Zucker,12,15.35,10.0,7.55
173,Charlie Coyle,10,12.03,12.0,9.86
174,Dougie Hamilton,14,8.53,9.0,5.73
175,Anthony Mantha,13,10.95,8.0,8.87
176,Conor Sheary,8,11.01,9.0,8.36
177,Travis Sanheim,6,4.99,7.0,5.2
178,Danton Heinen,10,9.11,7.0,7.45
179,Vince Dunn,8,4.69,5.0,4.92
180,Jake DeBrusk,17,11.0,12.0,10.76
181,Anthony Cirelli,11,10.68,11.0,10.31
182,Frans Nielsen,10,6.87,3.0,4.54
183,Shea Weber,9,3.5,8.0,4.56
184,Derek Stepan,9,12.07,7.0,9.09
185,Jakob Silfverberg,16,11.69,13.0,9.94
186,Casey Cizikas,15,9.95,6.0,6.0
187,Micheal Ferland,10,13.4,1.0,0.94
188,Blake Coleman,13,15.33,16.0,13.75
189,Scott Laughton,9,11.15,12.0,5.29
190,Damon Severson,8,4.63,4.0,3.97
191,Anthony Duclair,12,9.74,14.0,10.46
192,Frank Vatrano,18,15.29,9.0,8.95
193,Zach Werenski,8,6.85,10.0,6.82
194,Anthony Beauvillier,17,14.03,11.0,10.41
195,Dominik Simon,7,10.26,7.0,8.14
196,Mikhail Sergachev,5,5.31,4.0,3.78
197,Nolan Patrick,10,11.56,,
198,Alex Iafallo,11,10.27,8.0,8.3
199,Ryan Suter,3,4.83,5.0,2.66
200,Bobby Ryan,7,9.15,4.0,2.58
