pk,season,type,startDate,endDate,status,teamAwayID,teamHomeID
2019020001,20192020,R,2019-10-02T23:00:00Z,2019-10-03T01:50:13Z,Final,9,10
2019020002,20192020,R,2019-10-03T00:00:00Z,2019-10-03T02:54:04Z,Final,15,19
2019020003,20192020,R,2019-10-03T02:00:00Z,2019-10-03T04:38:26Z,Final,23,22
2019020004,20192020,R,2019-10-03T02:30:00Z,2019-10-03T05:29:06Z,Final,28,54
2019020005,20192020,R,2019-10-03T23:00:00Z,2019-10-04T01:43:24Z,Final,13,14
2019020006,20192020,R,2019-10-03T23:00:00Z,2019-10-04T01:46:02Z,Final,52,3
2019020007,20192020,R,2019-10-03T23:00:00Z,2019-10-04T01:42:17Z,Final,7,5
2019020008,20192020,R,2019-10-03T23:00:00Z,2019-10-04T01:56:52Z,Final,8,12
2019020009,20192020,R,2019-10-04T00:00:00Z,2019-10-04T02:44:01Z,Final,30,18
2019020010,20192020,R,2019-10-04T00:30:00Z,2019-10-04T03:15:17Z,Final,6,25
2019020011,20192020,R,2019-10-04T01:00:00Z,2019-10-04T03:58:38Z,Final,20,21
2019020012,20192020,R,2019-10-04T02:00:00Z,2019-10-04T04:39:03Z,Final,53,24
2019020013,20192020,R,2019-10-04T23:00:00Z,2019-10-05T01:49:49Z,Final,52,1
2019020014,20192020,R,2019-10-04T23:00:00Z,2019-10-05T01:37:39Z,Final,15,2
2019020015,20192020,R,2019-10-04T23:00:00Z,2019-10-05T01:42:39Z,Final,10,29
2019020016,20192020,R,2019-10-04T18:00:00Z,2019-10-05T02:45:10Z,Final,16,4
2019020017,20192020,R,2019-10-05T02:30:00Z,2019-10-05T05:11:49Z,Final,54,28
2019020018,20192020,R,2019-10-05T23:00:00Z,2019-10-06T02:53:39Z,Final,1,7
2019020019,20192020,R,2019-10-05T23:00:00Z,2019-10-06T03:18:09Z,Final,8,10
2019020020,20192020,R,2019-10-05T23:00:00Z,2019-10-06T01:50:03Z,Final,3,9
2019020021,20192020,R,2019-10-05T23:00:00Z,2019-10-06T01:46:58Z,Final,14,13
2019020022,20192020,R,2019-10-05T23:00:00Z,2019-10-06T01:31:34Z,Final,29,5
2019020023,20192020,R,2019-10-05T23:00:00Z,2019-10-06T02:09:23Z,Final,12,15
2019020024,20192020,R,2019-10-06T00:00:00Z,2019-10-06T02:36:31Z,Final,25,19
2019020025,20192020,R,2019-10-06T00:00:00Z,2019-10-06T02:44:32Z,Final,17,18
2019020026,20192020,R,2019-10-06T01:00:00Z,2019-10-06T03:41:37Z,Final,30,21
2019020027,20192020,R,2019-10-06T01:00:00Z,2019-10-06T03:30:12Z,Final,6,53
2019020028,20192020,R,2019-10-06T02:00:00Z,2019-10-06T04:44:36Z,Final,23,20
2019020029,20192020,R,2019-10-06T02:00:00Z,2019-10-06T04:40:00Z,Final,26,22
2019020030,20192020,R,2019-10-06T02:00:00Z,2019-10-06T04:37:15Z,Final,28,24
2019020031,20192020,R,2019-10-06T21:00:00Z,2019-10-06T23:48:02Z,Final,14,12
2019020032,20192020,R,2019-10-06T23:00:00Z,2019-10-07T01:39:17Z,Final,25,17
2019020033,20192020,R,2019-10-06T23:00:00Z,2019-10-07T01:32:09Z,Final,52,2
2019020034,20192020,R,2019-10-07T23:00:00Z,2019-10-08T01:33:09Z,Final,19,10
2019020035,20192020,R,2019-10-07T23:00:00Z,2019-10-08T01:46:51Z,Final,7,29
2019020036,20192020,R,2019-10-08T23:00:00Z,2019-10-09T01:40:26Z,Final,12,13
2019020037,20192020,R,2019-10-08T23:00:00Z,2019-10-09T01:39:15Z,Final,22,2
2019020038,20192020,R,2019-10-08T23:00:00Z,2019-10-09T01:38:57Z,Final,52,5
2019020039,20192020,R,2019-10-08T23:00:00Z,2019-10-09T01:43:19Z,Final,25,15
2019020040,20192020,R,2019-10-08T23:30:00Z,2019-10-09T01:57:31Z,Final,24,17
2019020041,20192020,R,2019-10-09T00:00:00Z,2019-10-09T02:42:38Z,Final,28,18
2019020042,20192020,R,2019-10-09T01:00:00Z,2019-10-09T03:42:50Z,Final,26,20
2019020043,20192020,R,2019-10-09T02:00:00Z,2019-10-09T04:39:06Z,Final,6,54
2019020044,20192020,R,2019-10-09T23:00:00Z,2019-10-10T01:44:43Z,Final,8,7
2019020045,20192020,R,2019-10-09T23:30:00Z,2019-10-10T02:17:17Z,Final,1,4
2019020046,20192020,R,2019-10-10T02:00:00Z,2019-10-10T04:46:49Z,Final,26,23
2019020047,20192020,R,2019-10-10T23:00:00Z,2019-10-11T01:29:53Z,Final,14,10
2019020048,20192020,R,2019-10-10T23:00:00Z,2019-10-11T01:52:36Z,Final,17,8
2019020049,20192020,R,2019-10-10T23:00:00Z,2019-10-11T01:45:37Z,Final,22,1
2019020050,20192020,R,2019-10-10T23:00:00Z,2019-10-11T01:39:18Z,Final,24,5
2019020051,20192020,R,2019-10-10T23:30:00Z,2019-10-11T02:11:18Z,Final,19,9
2019020052,20192020,R,2019-10-11T00:00:00Z,2019-10-11T02:46:34Z,Final,15,18
2019020053,20192020,R,2019-10-11T00:00:00Z,2019-10-11T02:44:32Z,Final,30,52
2019020054,20192020,R,2019-10-11T00:30:00Z,2019-10-11T03:05:57Z,Final,28,16
2019020055,20192020,R,2019-10-11T00:30:00Z,2019-10-11T03:21:46Z,Final,20,25
2019020056,20192020,R,2019-10-11T01:00:00Z,2019-10-11T03:43:28Z,Final,6,21
2019020057,20192020,R,2019-10-11T02:00:00Z,2019-10-11T04:31:35Z,Final,54,53
2019020058,20192020,R,2019-10-11T23:00:00Z,2019-10-12T01:48:10Z,Final,13,7
2019020059,20192020,R,2019-10-11T23:00:00Z,2019-10-12T01:24:29Z,Final,24,29
2019020060,20192020,R,2019-10-11T23:30:00Z,2019-10-12T02:12:45Z,Final,2,12
2019020061,20192020,R,2019-10-12T17:00:00Z,2019-10-12T19:34:10Z,Final,22,3
2019020062,20192020,R,2019-10-12T20:00:00Z,2019-10-12T22:37:20Z,Final,14,9
2019020063,20192020,R,2019-10-12T22:00:00Z,2019-10-13T00:43:16Z,Final,18,26
2019020064,20192020,R,2019-10-12T23:00:00Z,2019-10-13T01:32:47Z,Final,1,6
2019020065,20192020,R,2019-10-12T23:00:00Z,2019-10-13T01:47:26Z,Final,19,8
2019020066,20192020,R,2019-10-12T23:00:00Z,2019-10-13T01:38:36Z,Final,10,17
2019020067,20192020,R,2019-10-12T23:00:00Z,2019-10-13T01:49:03Z,Final,13,2
2019020068,20192020,R,2019-10-12T23:00:00Z,2019-10-13T01:43:04Z,Final,29,12
2019020069,20192020,R,2019-10-12T23:00:00Z,2019-10-13T01:40:22Z,Final,52,16
2019020070,20192020,R,2019-10-13T00:00:00Z,2019-10-13T02:47:17Z,Final,15,25
2019020071,20192020,R,2019-10-13T00:30:00Z,2019-10-13T03:30:14Z,Final,5,30
2019020072,20192020,R,2019-10-13T01:00:00Z,2019-10-13T03:49:45Z,Final,53,21
2019020073,20192020,R,2019-10-13T02:00:00Z,2019-10-13T04:48:48Z,Final,4,23
2019020074,20192020,R,2019-10-13T02:00:00Z,2019-10-13T04:35:18Z,Final,20,54
2019020075,20192020,R,2019-10-13T23:00:00Z,2019-10-14T01:41:43Z,Final,5,52
2019020076,20192020,R,2019-10-14T02:00:00Z,2019-10-14T04:35:06Z,Final,54,26
2019020077,20192020,R,2019-10-14T02:00:00Z,2019-10-14T04:37:52Z,Final,20,28
2019020078,20192020,R,2019-10-14T17:00:00Z,2019-10-14T19:50:25Z,Final,24,6
2019020079,20192020,R,2019-10-14T17:00:00Z,2019-10-14T19:43:22Z,Final,30,9
2019020080,20192020,R,2019-10-14T17:00:00Z,2019-10-14T19:30:41Z,Final,13,1
2019020081,20192020,R,2019-10-14T17:00:00Z,2019-10-14T19:42:04Z,Final,19,2
2019020082,20192020,R,2019-10-14T19:00:00Z,2019-10-14T21:27:03Z,Final,25,7
2019020083,20192020,R,2019-10-14T21:00:00Z,2019-10-14T23:46:56Z,Final,21,15
2019020084,20192020,R,2019-10-15T00:30:00Z,2019-10-15T03:04:30Z,Final,22,16
2019020085,20192020,R,2019-10-15T23:00:00Z,2019-10-16T01:32:58Z,Final,30,10
2019020086,20192020,R,2019-10-15T23:00:00Z,2019-10-16T01:39:44Z,Final,14,8
2019020087,20192020,R,2019-10-16T00:00:00Z,2019-10-16T02:32:35Z,Final,53,52
2019020088,20192020,R,2019-10-16T01:00:00Z,2019-10-16T03:40:04Z,Final,4,20
2019020089,20192020,R,2019-10-16T02:00:00Z,2019-10-16T05:46:34Z,Final,17,23
2019020090,20192020,R,2019-10-16T02:00:00Z,2019-10-16T04:38:33Z,Final,18,54
2019020091,20192020,R,2019-10-16T02:30:00Z,2019-10-16T05:09:31Z,Final,12,26
2019020092,20192020,R,2019-10-16T23:00:00Z,2019-10-17T01:56:06Z,Final,21,5
2019020093,20192020,R,2019-10-16T23:00:00Z,2019-10-17T01:37:42Z,Final,10,15
2019020094,20192020,R,2019-10-16T23:00:00Z,2019-10-17T01:37:28Z,Final,25,29
2019020095,20192020,R,2019-10-17T01:30:00Z,2019-10-17T04:19:34Z,Final,4,22
2019020096,20192020,R,2019-10-17T02:00:00Z,2019-10-17T05:09:28Z,Final,7,24
2019020097,20192020,R,2019-10-17T02:30:00Z,2019-10-17T05:09:19Z,Final,12,28
2019020098,20192020,R,2019-10-17T23:00:00Z,2019-10-18T02:03:11Z,Final,14,6
2019020099,20192020,R,2019-10-17T23:00:00Z,2019-10-18T01:37:40Z,Final,30,8
2019020100,20192020,R,2019-10-17T23:00:00Z,2019-10-18T02:30:58Z,Final,3,1
2019020101,20192020,R,2019-10-18T00:00:00Z,2019-10-18T02:51:21Z,Final,23,19
2019020102,20192020,R,2019-10-18T00:00:00Z,2019-10-18T02:36:01Z,Final,2,52
2019020103,20192020,R,2019-10-18T01:00:00Z,2019-10-18T03:30:26Z,Final,17,20
2019020104,20192020,R,2019-10-18T02:00:00Z,2019-10-18T04:39:31Z,Final,18,53
