,gameId,eventId,eventType,eventTypeDesc,period,periodTime,periodType,teamAwayID,teamHomeID,goalsHome,goalsAway,coX,coY,player1Id,player1Type,player1Name,player2Id,player2Type,player2Name,player3Id,player3Type,player3Name,player4Id,player4Type,player4Name,startDate,periodTimeFull,periodTimeFull_rounded,shot_angle,shot_distance,shot_angle_rad,shot_angle_vis
1223,2021020004,213,Goal,"Alex Ovechkin (1) Wrist Shot, assists: Anthony Mantha (1), John Carlson (1)",3,02:37,REGULAR,3,15,4,0,-78,-13,8471214,Scorer,Alex Ovechkin,8477511,Assist,Anthony Mantha,8474590,Assist,John Carlson,8480382,Goalie,Alexandar Georgiev,2021-10-13,0 days 00:42:37,0 days 00:43:00,-4.451174002886572,167.50522379914005,-0.07768764192954626,1.6484839687244428
1267,2021020004,257,Goal,"Alex Ovechkin (2) Backhand, assists: Evgeny Kuznetsov (3), Trevor van Riemsdyk (1)",3,12:01,REGULAR,3,15,5,1,-84,-3,8471214,Scorer,Alex Ovechkin,8475744,Assist,Evgeny Kuznetsov,8477845,Assist,Trevor van Riemsdyk,8480382,Goalie,Alexandar Georgiev,2021-10-13,0 days 00:52:01,0 days 00:52:00,-0.9934688562825819,173.02600960549256,-0.017339302558153406,1.58813562935305
8630,2021020027,189,Goal,"Alex Ovechkin (3) Snap Shot, assists: Trevor van Riemsdyk (2), Tom Wilson (1)",2,18:51,REGULAR,14,15,1,0,58,-2,8471214,Scorer,Alex Ovechkin,8477845,Assist,Trevor van Riemsdyk,8476880,Assist,Tom Wilson,8476883,Goalie,Andrei Vasilevskiy,2021-10-16,0 days 00:38:51,0 days 00:39:00,-3.6913859864512757,31.064449134018133,-0.06442683942555355,1.6352231662204502
14302,2021020045,288,Goal,"Alex Ovechkin (4) Wrist Shot, assists: Tom Wilson (4), Evgeny Kuznetsov (4)",3,17:39,REGULAR,21,15,6,3,53,21,8471214,Scorer,Alex Ovechkin,8476880,Assist,Tom Wilson,8475744,Assist,Evgeny Kuznetsov,0,0,0,2021-10-19,0 days 00:57:39,0 days 00:58:00,30.256437163529263,41.677331968349414,0.5280744484263596,1.0427218783685368
22731,2021020072,182,Goal,"Alex Ovechkin (5) Wrist Shot, assists: none",2,18:03,REGULAR,20,15,3,3,64,18,8471214,Scorer,Alex Ovechkin,8478435,Goalie,Dan Vladar,0,0,0,0,0,0,2021-10-23,0 days 00:38:03,0 days 00:38:00,35.75388725443675,30.805843601498726,0.6240230529767569,0.9467732738181397
26513,2021020084,230,Goal,"Alex Ovechkin (6) Wrist Shot, assists: none",2,16:27,REGULAR,15,9,4,5,79,-3,8471214,Scorer,Alex Ovechkin,8479406,Goalie,Filip Gustavsson,0,0,0,0,0,0,2021-10-25,0 days 00:36:27,0 days 00:36:00,-16.69924423399362,10.44030650891055,-0.2914567944778671,1.8622531212727638
26584,2021020084,301,Goal,"Alex Ovechkin (7) Wrist Shot, assists: Tom Wilson (7)",3,10:46,REGULAR,15,9,5,7,-55,-10,8471214,Scorer,Alex Ovechkin,8476880,Assist,Tom Wilson,8479406,Goalie,Filip Gustavsson,0,0,0,2021-10-25,0 days 00:50:46,0 days 00:51:00,-3.9724959407506595,144.34680460612904,-0.06933313368820859,1.6401294604831052
30770,2021020098,78,Goal,"Alex Ovechkin (8) Snap Shot, assists: Lars Eller (3), Anthony Mantha (3)",1,19:05,REGULAR,17,15,1,0,-86,-7,8471214,Scorer,Alex Ovechkin,8474189,Assist,Lars Eller,8477511,Assist,Anthony Mantha,8471306,Goalie,Thomas Greiss,2021-10-27,0 days 00:19:05,0 days 00:19:00,-2.2906100426385296,175.13994404475525,-0.039978687123290044,1.6107750139181867
35618,2021020113,262,Goal,"Alex Ovechkin (9) Wrist Shot, assists: Evgeny Kuznetsov (7), John Carlson (3)",3,19:39,REGULAR,53,15,2,0,40,19,8471214,Scorer,Alex Ovechkin,8475744,Assist,Evgeny Kuznetsov,8474590,Assist,John Carlson,0,0,0,2021-10-29,0 days 00:59:39,0 days 01:00:00,21.194056481542283,52.55473337388365,0.36990606745655763,1.200890259338339
47827,2021020152,217,Goal,"Alex Ovechkin (10) Wrist Shot, assists: Lars Eller (4)",2,18:11,REGULAR,15,13,4,2,-60,-14,8471214,Scorer,Alex Ovechkin,8474189,Assist,Lars Eller,8481519,Goalie,Spencer Knight,0,0,0,2021-11-04,0 days 00:38:11,0 days 00:38:00,-5.367736847156145,149.6562728387955,-0.09368468136349435,1.664481008158391
