id,fullName,link,firstName,lastName,primaryNumber,birthDate,currentAge,birthCity,birthStateProvince,birthCountry,nationality,height,weight,active,alternateCaptain,captain,rookie,shootsCatches,rosterStatus,gameId,teamID,pPos
8467950,Craig Anderson,/api/v1/people/8467950,Craig,Anderson,41,1981-05-21,41,Park Ridge,IL,USA,USA,"6' 2""",186,True,False,False,False,L,Y,2019020001,9,Goalie
8480073,Erik Brannstrom,/api/v1/people/8480073,Erik,Brannstrom,26,1999-09-02,23,Eksjo,,SWE,SWE,"5' 9""",181,True,False,False,True,L,Y,2019020001,9,Defenseman
8477939,William Nylander,/api/v1/people/8477939,William,Nylander,88,1996-05-01,26,Calgary,AB,CAN,SWE,"6' 0""",196,True,False,False,False,R,Y,2019020001,10,Center
8475718,Justin Holl,/api/v1/people/8475718,Justin,Holl,3,1992-01-30,30,Tonka Bay,MN,USA,USA,"6' 4""",210,True,False,False,False,R,Y,2019020001,10,Defenseman
8476406,Nicholas Shore,/api/v1/people/8476406,Nicholas,Shore,26,1992-09-26,29,Denver,CO,USA,USA,"6' 1""",198,True,False,False,False,R,Y,2019020001,10,Center
8475716,Martin Marincin,/api/v1/people/8475716,Martin,Marincin,52,1992-02-18,30,Kosice,,SVK,SVK,"6' 5""",217,True,False,False,False,L,Y,2019020001,10,Defenseman
8477953,Kasperi Kapanen,/api/v1/people/8477953,Kasperi,Kapanen,24,1996-07-23,26,Kuopio,,FIN,FIN,"6' 1""",194,True,False,False,False,R,Y,2019020001,10,Right Wing
8471676,Bobby Ryan,/api/v1/people/8471676,Bobby,Ryan,9,1987-03-17,35,Cherry Hill,NJ,USA,USA,"6' 2""",208,True,False,False,False,R,Y,2019020001,9,Right Wing
8474589,Tyler Ennis,/api/v1/people/8474589,Tyler,Ennis,63,1989-10-06,32,Edmonton,AB,CAN,CAN,"5' 9""",161,True,False,False,False,L,Y,2019020001,9,Center
8479318,Auston Matthews,/api/v1/people/8479318,Auston,Matthews,34,1997-09-17,25,San Ramon,CA,USA,USA,"6' 3""",220,True,True,False,False,L,Y,2019020001,10,Center
8475166,John Tavares,/api/v1/people/8475166,John,Tavares,91,1990-09-20,32,Mississauga,ON,CAN,CAN,"6' 1""",215,True,False,True,False,L,Y,2019020001,10,Center
8480801,Brady Tkachuk,/api/v1/people/8480801,Brady,Tkachuk,7,1999-09-16,23,Scottsdale,AZ,USA,USA,"6' 4""",212,True,False,False,False,L,Y,2019020001,9,Left Wing
8477149,Scott Sabourin,/api/v1/people/8477149,Scott,Sabourin,49,1992-07-30,30,Orleans,ON,CAN,CAN,"6' 3""",208,True,False,False,False,R,I,2019020001,9,Right Wing
8475883,Frederik Andersen,/api/v1/people/8475883,Frederik,Andersen,31,1989-10-02,32,Herning,,DNK,DNK,"6' 4""",238,True,False,False,False,L,Y,2019020001,10,Goalie
8480208,Drake Batherson,/api/v1/people/8480208,Drake,Batherson,19,1998-04-27,24,Fort Wayne,IN,USA,USA,"6' 3""",206,True,False,False,True,R,N,2019020001,9,Center
8474597,Cody Goloubef,/api/v1/people/8474597,Cody,Goloubef,29,1989-11-30,32,Mississauga,ON,CAN,CAN,"6' 1""",190,True,False,False,False,R,Y,2019020001,9,Defenseman
