id,fullName,link,firstName,lastName,primaryNumber,birthDate,currentAge,birthCity,birthCountry,nationality,height,weight,active,alternateCaptain,captain,rookie,shootsCatches,rosterStatus,birthStateProvince,gameId,teamID,pPos
8480074,Alexandre Texier,/api/v1/people/8480074,Alexandre,Texier,42,1999-09-13,23,St. Martin D'heres,FRA,FRA,"6' 1""",192,True,False,False,True,L,Y,,2019020501,29,Center
8474589,Tyler Ennis,/api/v1/people/8474589,Tyler,Ennis,63,1989-10-06,33,Edmonton,CAN,CAN,"5' 9""",161,True,False,False,False,L,Y,AB,2019020501,9,Right Wing
8477416,Oliver Bjorkstrand,/api/v1/people/8477416,Oliver,Bjorkstrand,28,1995-04-10,27,Herning,DNK,DNK,"6' 0""",177,True,False,False,False,R,Y,,2019020501,29,Right Wing
8476449,Scott Harrington,/api/v1/people/8476449,Scott,Harrington,4,1993-03-10,29,Kingston,CAN,CAN,"6' 2""",204,True,False,False,False,L,Y,ON,2019020501,29,Defenseman
8480205,Emil Bemstrom,/api/v1/people/8480205,Emil,Bemstrom,52,1999-06-01,23,Nykoping,SWE,SWE,"6' 0""",190,True,False,False,True,R,I,,2019020501,29,Center
8476850,Ryan Murray,/api/v1/people/8476850,Ryan,Murray,27,1993-09-27,29,Regina,CAN,CAN,"6' 1""",206,True,False,False,False,L,Y,SK,2019020501,29,Defenseman
8476432,Boone Jenner,/api/v1/people/8476432,Boone,Jenner,38,1993-06-15,29,Dorchester,CAN,CAN,"6' 2""",208,True,True,False,False,L,Y,ON,2019020501,29,Center
8480801,Brady Tkachuk,/api/v1/people/8480801,Brady,Tkachuk,7,1999-09-16,23,Scottsdale,USA,USA,"6' 4""",212,True,False,False,False,L,Y,AZ,2019020501,9,Left Wing
8479369,Andrew Peeke,/api/v1/people/8479369,Andrew,Peeke,2,1998-03-17,24,Parkland,USA,USA,"6' 3""",194,True,False,False,True,R,Y,FL,2019020501,29,Defenseman
8474597,Cody Goloubef,/api/v1/people/8474597,Cody,Goloubef,29,1989-11-30,32,Mississauga,CAN,CAN,"6' 1""",190,True,False,False,False,R,Y,ON,2019020501,9,Defenseman
8479366,Logan Brown,/api/v1/people/8479366,Logan,Brown,21,1998-03-05,24,Raleigh,USA,USA,"6' 6""",220,True,False,False,True,L,Y,NC,2019020501,9,Center
8479400,Pierre-Luc Dubois,/api/v1/people/8479400,Pierre-Luc,Dubois,18,1998-06-24,24,Ste-Agathe-des-Monts,CAN,CAN,"6' 3""",218,True,False,False,False,L,Y,QC,2019020501,29,Center
8479320,Maxime Lajoie,/api/v1/people/8479320,Maxime,Lajoie,58,1997-11-05,24,Quebec City,CAN,CAN,"6' 1""",196,True,False,False,False,L,Y,QC,2019020501,9,Defenseman
8474571,Mikkel Boedker,/api/v1/people/8474571,Mikkel,Boedker,89,1989-12-16,32,Brondby,DNK,DNK,"5' 11""",207,True,False,False,False,L,Y,,2019020501,9,Left Wing
8480762,Eric Robinson,/api/v1/people/8480762,Eric,Robinson,50,1995-06-14,27,Bellmawr,USA,USA,"6' 2""",197,True,False,False,True,L,Y,NJ,2019020501,29,Left Wing
8480247,Jonathan Davidsson,/api/v1/people/8480247,Jonathan,Davidsson,17,1997-03-12,25,Tyreso,SWE,SWE,"5' 11""",185,True,False,False,True,R,N,,2019020501,9,Right Wing
8476919,Chris Tierney,/api/v1/people/8476919,Chris,Tierney,71,1994-07-01,28,Keswick,CAN,CAN,"6' 1""",195,True,False,False,False,L,Y,ON,2019020501,9,Center
8474679,Gustav Nyquist,/api/v1/people/8474679,Gustav,Nyquist,14,1989-09-01,33,Halmstad,SWE,SWE,"5' 11""",179,True,False,False,False,L,Y,,2019020501,29,Center
8477947,Sonny Milano,/api/v1/people/8477947,Sonny,Milano,22,1996-05-12,26,Massapequa,USA,USA,"6' 0""",194,True,False,False,False,L,Y,NY,2019020501,29,Left Wing
8477407,Anthony Duclair,/api/v1/people/8477407,Anthony,Duclair,10,1995-08-26,27,Pointe-Claire,CAN,CAN,"5' 11""",198,True,False,False,False,L,Y,QC,2019020501,9,Left Wing
8473422,Nick Foligno,/api/v1/people/8473422,Nick,Foligno,71,1987-10-31,34,Buffalo,USA,USA,"6' 0""",208,True,False,True,False,L,Y,NY,2019020501,29,Left Wing
8476914,Joonas Korpisalo,/api/v1/people/8476914,Joonas,Korpisalo,70,1994-04-28,28,Pori,FIN,FIN,"6' 3""",191,True,False,False,False,L,Y,,2019020501,29,Goalie
8476419,Jean-Gabriel Pageau,/api/v1/people/8476419,Jean-Gabriel,Pageau,44,1992-11-11,29,Ottawa,CAN,CAN,"5' 10""",180,True,True,False,False,R,Y,ON,2019020501,9,Center
8468493,Ron Hainsey,/api/v1/people/8468493,Ron,Hainsey,81,1981-03-24,41,Bolton,USA,USA,"6' 3""",201,True,True,False,False,L,Y,CT,2019020501,9,Defenseman
8474715,Cam Atkinson,/api/v1/people/8474715,Cam,Atkinson,13,1989-06-05,33,Riverside,USA,USA,"5' 8""",175,True,False,False,False,R,Y,CT,2019020501,29,Right Wing
8477426,Nick Paul,/api/v1/people/8477426,Nick,Paul,13,1995-03-20,27,Mississauga,CAN,CAN,"6' 3""",219,True,False,False,False,L,Y,ON,2019020501,9,Left Wing
8474697,Mark Borowiecki,/api/v1/people/8474697,Mark,Borowiecki,74,1989-07-12,33,Ottawa,CAN,CAN,"6' 2""",204,True,True,False,False,L,Y,ON,2019020501,9,Defenseman
8477505,Alexander Wennberg,/api/v1/people/8477505,Alexander,Wennberg,10,1994-09-22,28,Stockholm,SWE,SWE,"6' 2""",197,True,False,False,False,L,Y,,2019020501,29,Center
8476981,Josh Anderson,/api/v1/people/8476981,Josh,Anderson,77,1994-05-07,28,Burlington,CAN,CAN,"6' 3""",222,True,False,False,False,R,I,ON,2019020501,29,Right Wing
8479458,Nikita Zaitsev,/api/v1/people/8479458,Nikita,Zaitsev,22,1991-10-29,30,Moscow,RUS,RUS,"6' 2""",188,True,False,False,False,R,I,,2019020501,9,Defenseman
8477015,Connor Brown,/api/v1/people/8477015,Connor,Brown,28,1994-01-14,28,Toronto,CAN,CAN,"6' 0""",186,True,False,False,False,R,Y,ON,2019020501,9,Right Wing
8475233,David Savard,/api/v1/people/8475233,David,Savard,58,1990-10-22,31,St. Hyacinthe,CAN,CAN,"6' 2""",229,True,False,False,False,R,Y,QC,2019020501,29,Defenseman
8478400,Colin White,/api/v1/people/8478400,Colin,White,36,1997-01-30,25,Boston,USA,USA,"5' 11""",191,True,False,False,False,R,Y,MA,2019020501,9,Center
8477971,Andreas Englund,/api/v1/people/8477971,Andreas,Englund,39,1996-01-21,26,Stockholm,SWE,SWE,"6' 3""",189,True,False,False,True,L,Y,,2019020501,9,Defenseman
8478007,Elvis Merzlikins,/api/v1/people/8478007,Elvis,Merzlikins,90,1994-04-13,28,Riga,LVA,LVA,"6' 3""",181,True,False,False,True,L,Y,,2019020501,29,Goalie
8478469,Thomas Chabot,/api/v1/people/8478469,Thomas,Chabot,72,1997-01-30,25,Sainte-Marie,CAN,CAN,"6' 2""",190,True,False,False,False,L,Y,QC,2019020501,9,Defenseman
8474062,Riley Nash,/api/v1/people/8474062,Riley,Nash,20,1989-05-09,33,Consort,CAN,CAN,"6' 2""",185,True,False,False,False,R,Y,AB,2019020501,29,Center
8478567,Dean Kukan,/api/v1/people/8478567,Dean,Kukan,46,1993-07-08,29,Volketswil,CHE,CHE,"6' 2""",192,True,False,False,False,L,Y,,2019020501,29,Defenseman
8477495,Seth Jones,/api/v1/people/8477495,Seth,Jones,3,1994-10-03,28,Arlington,USA,USA,"6' 4""",209,True,False,False,False,R,Y,TX,2019020501,29,Defenseman
8475195,Anders Nilsson,/api/v1/people/8475195,Anders,Nilsson,31,1990-03-19,32,Lulea,SWE,SWE,"6' 6""",232,True,False,False,False,L,Y,,2019020501,9,Goalie
8473573,Artem Anisimov,/api/v1/people/8473573,Artem,Anisimov,51,1988-05-24,34,Yaroslavl,RUS,RUS,"6' 4""",199,True,False,False,False,L,Y,,2019020501,9,Center
8478882,Vladislav Gavrikov,/api/v1/people/8478882,Vladislav,Gavrikov,44,1995-11-21,26,Yaroslavl,RUS,RUS,"6' 3""",213,True,False,False,True,L,Y,,2019020501,29,Defenseman
8476480,Vladislav Namestnikov,/api/v1/people/8476480,Vladislav,Namestnikov,90,1992-11-22,29,Zhukovskiy,RUS,RUS,"6' 0""",183,True,False,False,False,L,Y,,2019020501,9,Left Wing
8474709,Matt Martin,/api/v1/people/8474709,Matt,Martin,17,1989-05-08,33,Windsor,CAN,CAN,"6' 3""",220,True,False,False,False,L,Y,ON,2019020502,2,Left Wing
8477936,Michael Dal Colle,/api/v1/people/8477936,Michael,Dal Colle,28,1996-06-20,26,Woodbridge,CAN,CAN,"6' 3""",204,True,False,False,False,L,Y,ON,2019020502,2,Left Wing
8476429,Scott Mayfield,/api/v1/people/8476429,Scott,Mayfield,24,1992-10-14,30,St. Louis,USA,USA,"6' 5""",223,True,False,False,False,R,Y,MO,2019020502,2,Defenseman
8477839,Conor Sheary,/api/v1/people/8477839,Conor,Sheary,43,1992-06-08,30,Winchester,USA,USA,"5' 8""",179,True,False,False,False,L,Y,MA,2019020502,7,Left Wing
8470187,Johnny Boychuk,/api/v1/people/8470187,Johnny,Boychuk,55,1984-01-19,38,Edmonton,CAN,CAN,"6' 2""",227,True,False,False,False,R,Y,AB,2019020502,2,Defenseman
8473575,Semyon Varlamov,/api/v1/people/8473575,Semyon,Varlamov,40,1988-04-27,34,Samara,RUS,RUS,"6' 2""",205,True,False,False,False,L,Y,,2019020502,2,Goalie
8475314,Anders Lee,/api/v1/people/8475314,Anders,Lee,27,1990-07-03,32,Edina,USA,USA,"6' 3""",231,True,False,True,False,L,Y,MN,2019020502,2,Left Wing
8475754,Brock Nelson,/api/v1/people/8475754,Brock,Nelson,29,1991-10-15,30,Warroad,USA,USA,"6' 3""",212,True,False,False,False,L,Y,MN,2019020502,2,Center
8474567,Zach Bogosian,/api/v1/people/8474567,Zach,Bogosian,4,1990-07-15,32,Massena,USA,USA,"6' 3""",226,True,False,False,False,R,Y,NY,2019020502,7,Defenseman
8476525,Colin Miller,/api/v1/people/8476525,Colin,Miller,33,1992-10-29,29,Sault Ste. Marie,CAN,CAN,"6' 1""",193,True,False,False,False,R,Y,ON,2019020502,7,Defenseman
8479999,Casey Mittelstadt,/api/v1/people/8479999,Casey,Mittelstadt,37,1998-11-22,23,Eden Prairie,USA,USA,"6' 1""",199,True,False,False,False,L,N,MN,2019020502,7,Center
