id,fullName,link,firstName,lastName,primaryNumber,birthDate,currentAge,birthCity,birthStateProvince,birthCountry,nationality,height,weight,active,alternateCaptain,captain,rookie,shootsCatches,rosterStatus,gameId,teamID,pPos
8482093,Seth Jarvis,/api/v1/people/8482093,Seth,Jarvis,24,2002-02-01,20,Winnipeg,MB,CAN,CAN,"5' 10""",175,True,False,False,True,R,Y,2021020654,12,Center
8480074,Alexandre Texier,/api/v1/people/8480074,Alexandre,Texier,42,1999-09-13,23,Saint-Martin-d'Hères,,FRA,FRA,"6' 1""",186,True,False,False,False,L,Y,2021020654,29,Center
8478904,Steven Lorentz,/api/v1/people/8478904,Steven,Lorentz,78,1996-04-13,26,Kitchener,ON,CAN,CAN,"6' 4""",206,True,False,False,False,L,Y,2021020654,12,Center
8480829,Jesperi Kotkaniemi,/api/v1/people/8480829,Jesperi,Kotkaniemi,82,2000-07-06,22,Pori,,FIN,FIN,"6' 2""",201,True,False,False,False,L,Y,2021020654,12,Center
8473533,Jordan Staal,/api/v1/people/8473533,Jordan,Staal,11,1988-09-10,34,Thunder Bay,ON,CAN,CAN,"6' 4""",220,True,False,True,False,L,Y,2021020654,12,Center
8476869,Brady Skjei,/api/v1/people/8476869,Brady,Skjei,76,1994-03-26,28,Lakeville,MN,USA,USA,"6' 3""",210,True,False,False,False,L,Y,2021020654,12,Defenseman
8478427,Sebastian Aho,/api/v1/people/8478427,Sebastian,Aho,20,1997-07-26,25,Rauma,,FIN,FIN,"6' 0""",176,True,False,False,False,L,Y,2021020654,12,Center
8479339,Patrik Laine,/api/v1/people/8479339,Patrik,Laine,29,1998-04-19,24,Tampere,,FIN,FIN,"6' 5""",216,True,False,False,False,R,Y,2021020654,29,Left Wing
8478506,Gabriel Carlsson,/api/v1/people/8478506,Gabriel,Carlsson,53,1997-01-02,25,Orebro,,SWE,SWE,"6' 5""",195,True,False,False,False,L,Y,2021020654,29,Defenseman
8475799,Nino Niederreiter,/api/v1/people/8475799,Nino,Niederreiter,21,1992-09-08,30,Chur,,CHE,CHE,"6' 2""",218,True,False,False,False,L,Y,2021020654,12,Right Wing
8476921,Jordan Martinook,/api/v1/people/8476921,Jordan,Martinook,48,1992-07-25,30,Brandon,MB,CAN,CAN,"6' 0""",196,True,True,False,False,L,Y,2021020654,12,Left Wing
8477416,Oliver Bjorkstrand,/api/v1/people/8477416,Oliver,Bjorkstrand,28,1995-04-10,27,Herning,,DNK,DNK,"6' 0""",177,True,True,False,False,R,Y,2021020654,29,Right Wing
8475855,Jesper Fast,/api/v1/people/8475855,Jesper,Fast,71,1991-12-02,30,Nassjo,,SWE,SWE,"6' 1""",191,True,False,False,False,R,Y,2021020654,12,Right Wing
8480205,Emil Bemstrom,/api/v1/people/8480205,Emil,Bemstrom,52,1999-06-01,23,Nykoping,,SWE,SWE,"6' 0""",193,True,False,False,False,R,Y,2021020654,29,Center
8477488,Brett Pesce,/api/v1/people/8477488,Brett,Pesce,22,1994-11-15,27,Tarrytown,NY,USA,USA,"6' 3""",206,True,False,False,False,R,Y,2021020654,12,Defenseman
8476432,Boone Jenner,/api/v1/people/8476432,Boone,Jenner,38,1993-06-15,29,Dorchester,ON,CAN,CAN,"6' 2""",205,True,False,True,False,L,Y,2021020654,29,Center
8482705,Cole Sillinger,/api/v1/people/8482705,Cole,Sillinger,34,2003-05-16,19,Columbus,OH,USA,USA,"6' 2""",203,True,False,False,True,L,N,2021020654,29,Center
8478458,Jack Roslovic,/api/v1/people/8478458,Jack,Roslovic,96,1997-01-29,25,Columbus,OH,USA,USA,"6' 1""",193,True,False,False,False,R,Y,2021020654,29,Center
8475883,Frederik Andersen,/api/v1/people/8475883,Frederik,Andersen,31,1989-10-02,33,Herning,,DNK,DNK,"6' 4""",238,True,False,False,False,L,Y,2021020654,12,Goalie
8479369,Andrew Peeke,/api/v1/people/8479369,Andrew,Peeke,2,1998-03-17,24,Parkland,FL,USA,USA,"6' 3""",196,True,False,False,False,R,Y,2021020654,29,Defenseman
8479402,Jake Bean,/api/v1/people/8479402,Jake,Bean,22,1998-06-09,24,Calgary,AB,CAN,CAN,"6' 1""",176,True,False,False,False,L,Y,2021020654,29,Defenseman
8478451,Ethan Bear,/api/v1/people/8478451,Ethan,Bear,25,1997-06-26,25,Regina,SK,CAN,CAN,"5' 11""",197,True,False,False,False,R,Y,2021020654,12,Defenseman
8474013,Ian Cole,/api/v1/people/8474013,Ian,Cole,28,1989-02-21,33,Ann Arbor,MI,USA,USA,"6' 1""",225,True,False,False,False,L,Y,2021020654,12,Defenseman
8476374,Sean Kuraly,/api/v1/people/8476374,Sean,Kuraly,7,1993-01-20,29,Niagara Falls,NY,USA,USA,"6' 2""",205,True,False,False,False,L,Y,2021020654,29,Center
8474090,Brendan Smith,/api/v1/people/8474090,Brendan,Smith,7,1989-02-08,33,Mimico,ON,CAN,CAN,"6' 2""",200,True,False,False,False,L,Y,2021020654,12,Defenseman
8479581,Jack LaFontaine,/api/v1/people/8479581,Jack,LaFontaine,80,1998-01-06,24,Mississauga,ON,CAN,CAN,"6' 2""",204,True,False,False,True,L,N,2021020654,12,Goalie
8480762,Eric Robinson,/api/v1/people/8480762,Eric,Robinson,50,1995-06-14,27,Bellmawr,NJ,USA,USA,"6' 2""",201,True,False,False,False,L,Y,2021020654,29,Left Wing
8474679,Gustav Nyquist,/api/v1/people/8474679,Gustav,Nyquist,14,1989-09-01,33,Halmstad,,SWE,SWE,"5' 11""",176,True,True,False,False,L,Y,2021020654,29,Center
8474613,Derek Stepan,/api/v1/people/8474613,Derek,Stepan,18,1990-06-18,32,Hastings,MN,USA,USA,"5' 11""",196,True,False,False,False,R,Y,2021020654,12,Center
8476958,Jaccob Slavin,/api/v1/people/8476958,Jaccob,Slavin,74,1994-05-01,28,Denver,CO,USA,USA,"6' 3""",207,True,True,False,False,L,Y,2021020654,12,Defenseman
8477503,Max Domi,/api/v1/people/8477503,Max,Domi,16,1995-03-02,27,Winnipeg,MB,CAN,CAN,"5' 10""",194,True,False,False,False,L,Y,2021020654,29,Center
8479945,Gavin Bayreuther,/api/v1/people/8479945,Gavin,Bayreuther,5,1994-05-12,28,Canaan,NH,USA,USA,"6' 1""",196,True,False,False,False,L,Y,2021020654,29,Defenseman
8477950,Tony DeAngelo,/api/v1/people/8477950,Tony,DeAngelo,77,1995-10-24,27,Sewell,NJ,USA,USA,"5' 11""",180,True,False,False,False,R,Y,2021020654,12,Defenseman
8476882,Teuvo Teravainen,/api/v1/people/8476882,Teuvo,Teravainen,86,1994-09-11,28,Helsinki,,FIN,FIN,"5' 11""",191,True,False,False,False,L,Y,2021020654,12,Left Wing
8478007,Elvis Merzlikins,/api/v1/people/8478007,Elvis,Merzlikins,90,1994-04-13,28,Riga,,LVA,LVA,"6' 3""",183,True,False,False,False,L,Y,2021020654,29,Goalie
8476389,Vincent Trocheck,/api/v1/people/8476389,Vincent,Trocheck,16,1993-07-11,29,Pittsburgh,PA,USA,USA,"5' 10""",183,True,False,False,False,R,Y,2021020654,12,Center
8478567,Dean Kukan,/api/v1/people/8478567,Dean,Kukan,46,1993-07-08,29,Volketswil,,CHE,CHE,"6' 2""",190,True,False,False,False,L,Y,2021020654,29,Defenseman
8478882,Vladislav Gavrikov,/api/v1/people/8478882,Vladislav,Gavrikov,44,1995-11-21,26,Yaroslavl,,RUS,RUS,"6' 3""",213,True,False,False,False,L,Y,2021020654,29,Defenseman
8482475,Yegor Chinakhov,/api/v1/people/8482475,Yegor,Chinakhov,59,2001-02-01,21,Omsk,,RUS,RUS,"6' 1""",189,True,False,False,True,L,Y,2021020654,29,Right Wing
8477293,Antti Raanta,/api/v1/people/8477293,Antti,Raanta,32,1989-05-12,33,Rauma,,FIN,FIN,"6' 0""",195,True,False,False,False,L,Y,2021020654,12,Goalie
8478460,Zach Werenski,/api/v1/people/8478460,Zach,Werenski,8,1997-07-19,25,Grosse Pointe,MI,USA,USA,"6' 2""",213,True,True,False,False,L,Y,2021020654,29,Defenseman
8480871,Adam Boqvist,/api/v1/people/8480871,Adam,Boqvist,27,2000-08-15,22,Falun,,SWE,SWE,"6' 0""",189,True,False,False,False,R,Y,2021020654,29,Defenseman
8480830,Andrei Svechnikov,/api/v1/people/8480830,Andrei,Svechnikov,37,2000-03-26,22,Barnaul,,RUS,RUS,"6' 2""",195,True,False,False,False,L,Y,2021020654,12,Right Wing
8480039,Martin Necas,/api/v1/people/8480039,Martin,Necas,88,1999-01-15,23,Nove Mesto na Morave,,CZE,CZE,"6' 2""",189,True,False,False,False,R,N,2021020654,12,Center
8480070,Ian Mitchell,/api/v1/people/8480070,Ian,Mitchell,51,1999-01-18,23,St. Albert,AB,CAN,CAN,"5' 11""",173,True,False,False,False,R,N,2021020655,16,Defenseman
8481461,Corey Schueneman,/api/v1/people/8481461,Corey,Schueneman,64,1995-09-02,27,Milford,MI,USA,USA,"6' 0""",196,True,False,False,False,L,Y,2021020655,8,Defenseman
8476967,Brett Kulak,/api/v1/people/8476967,Brett,Kulak,77,1994-01-06,28,Edmonton,AB,CAN,CAN,"6' 1""",197,True,False,False,False,L,Y,2021020655,8,Defenseman
8474884,Mike Hoffman,/api/v1/people/8474884,Mike,Hoffman,68,1989-11-24,32,Kitchener,ON,CAN,CAN,"6' 0""",184,True,False,False,False,L,Y,2021020655,8,Center
8476469,Joel Armia,/api/v1/people/8476469,Joel,Armia,40,1993-05-31,29,Pori,,FIN,FIN,"6' 3""",218,True,False,False,False,R,Y,2021020655,8,Right Wing
8479404,Henrik Borgstrom,/api/v1/people/8479404,Henrik,Borgstrom,13,1997-08-06,25,Helsinki,,FIN,FIN,"6' 3""",199,True,False,False,False,L,Y,2021020655,16,Center
8478133,Jake Evans,/api/v1/people/8478133,Jake,Evans,71,1996-06-02,26,Toronto,ON,CAN,CAN,"6' 0""",176,True,False,False,False,R,Y,2021020655,8,Center
8479542,Brandon Hagel,/api/v1/people/8479542,Brandon,Hagel,38,1998-08-27,24,Saskatoon,SK,CAN,CAN,"5' 11""",174,True,False,False,False,L,Y,2021020655,16,Left Wing
8479388,Riley Stillman,/api/v1/people/8479388,Riley,Stillman,61,1998-03-09,24,Peterborough,ON,CAN,CAN,"6' 1""",196,True,False,False,False,L,Y,2021020655,16,Defenseman
8478452,Caleb Jones,/api/v1/people/8478452,Caleb,Jones,82,1997-06-06,25,Arlington,TX,USA,USA,"6' 1""",194,True,False,False,False,L,Y,2021020655,16,Defenseman
8479543,Michael Pezzetta,/api/v1/people/8479543,Michael,Pezzetta,55,1998-03-13,24,Toronto,ON,CAN,CAN,"6' 1""",216,True,False,False,True,L,Y,2021020655,8,Left Wing
8476473,Connor Murphy,/api/v1/people/8476473,Connor,Murphy,5,1993-03-26,29,Dublin,OH,USA,USA,"6' 4""",212,True,True,False,False,R,Y,2021020655,16,Defenseman
8478470,Sam Montembeault,/api/v1/people/8478470,Sam,Montembeault,35,1996-10-30,25,Becancour,QC,CAN,CAN,"6' 3""",199,True,False,False,False,L,Y,2021020655,8,Goalie
8477460,Laurent Dauphin,/api/v1/people/8477460,Laurent,Dauphin,45,1995-03-27,27,Repentigny,QC,CAN,CAN,"6' 0""",186,True,False,False,False,L,Y,2021020655,8,Center
8480068,Ryan Poehling,/api/v1/people/8480068,Ryan,Poehling,25,1999-01-03,23,Lakeville,MN,USA,USA,"6' 2""",196,True,False,False,False,L,Y,2021020655,8,Center
8481014,Alexander Romanov,/api/v1/people/8481014,Alexander,Romanov,27,2000-01-06,22,Moscow,,RUS,RUS,"6' 1""",209,True,False,False,False,L,Y,2021020655,8,Defenseman
8480025,MacKenzie Entwistle,/api/v1/people/8480025,MacKenzie,Entwistle,58,1999-07-14,23,Georgetown,ON,CAN,CAN,"6' 3""",184,True,False,False,True,R,Y,2021020655,16,Right Wing
8473507,Jeff Petry,/api/v1/people/8473507,Jeff,Petry,26,1987-12-09,34,Ann Arbor,MI,USA,USA,"6' 3""",209,True,True,False,False,R,Y,2021020655,8,Defenseman
8478915,Sami Niku,/api/v1/people/8478915,Sami,Niku,15,1996-10-10,26,Haapavesi,,FIN,FIN,"6' 1""",176,True,False,False,False,L,Y,2021020655,8,Defenseman
8476979,Erik Gustafsson,/api/v1/people/8476979,Erik,Gustafsson,56,1992-03-14,30,Nynashamn,,SWE,SWE,"6' 0""",197,True,False,False,False,L,Y,2021020655,16,Defenseman
8470594,Marc-Andre Fleury,/api/v1/people/8470594,Marc-Andre,Fleury,29,1984-11-28,37,Sorel,QC,CAN,CAN,"6' 2""",185,True,False,False,False,L,Y,2021020655,16,Goalie
8476915,Jujhar Khaira,/api/v1/people/8476915,Jujhar,Khaira,16,1994-08-13,28,Surrey,BC,CAN,CAN,"6' 4""",212,True,False,False,False,L,Y,2021020655,16,Left Wing
8473604,Jonathan Toews,/api/v1/people/8473604,Jonathan,Toews,19,1988-04-29,34,Winnipeg,MB,CAN,CAN,"6' 2""",201,True,False,True,False,L,Y,2021020655,16,Center
8476975,Cedric Paquette,/api/v1/people/8476975,Cedric,Paquette,13,1993-08-13,29,Gaspe,QC,CAN,CAN,"6' 0""",205,True,False,False,False,L,Y,2021020655,8,Center
8477989,Christian Dvorak,/api/v1/people/8477989,Christian,Dvorak,28,1996-02-02,26,Palos,IL,USA,USA,"6' 1""",200,True,False,False,False,L,Y,2021020655,8,Left Wing
8475227,Chris Wideman,/api/v1/people/8475227,Chris,Wideman,20,1990-01-07,32,St. Louis,MO,USA,USA,"5' 10""",180,True,False,False,False,R,Y,2021020655,8,Defenseman
8477846,Ryan Carpenter,/api/v1/people/8477846,Ryan,Carpenter,22,1991-01-18,31,Oviedo,FL,USA,USA,"6' 0""",200,True,False,False,False,R,Y,2021020655,16,Center
8480018,Nick Suzuki,/api/v1/people/8480018,Nick,Suzuki,14,1999-08-10,23,London,ON,CAN,CAN,"5' 11""",205,True,True,False,False,R,Y,2021020655,8,Center
8479337,Alex DeBrincat,/api/v1/people/8479337,Alex,DeBrincat,12,1997-12-18,24,Farmington Hills,MI,USA,USA,"5' 7""",165,True,True,False,False,R,Y,2021020655,16,Left Wing
8475177,Calvin de Haan,/api/v1/people/8475177,Calvin,de Haan,44,1991-05-09,31,Carp,ON,CAN,CAN,"6' 1""",195,True,False,False,False,L,Y,2021020655,16,Defenseman
8479514,Rem Pitlick,/api/v1/people/8479514,Rem,Pitlick,32,1997-04-02,25,Ottawa,ON,CAN,CAN,"5' 11""",196,True,False,False,True,L,Y,2021020655,8,Center
8475233,David Savard,/api/v1/people/8475233,David,Savard,58,1990-10-22,32,St-Hyacinthe,QC,CAN,CAN,"6' 1""",234,True,False,False,False,R,Y,2021020655,8,Defenseman
8477476,Artturi Lehkonen,/api/v1/people/8477476,Artturi,Lehkonen,62,1995-07-04,27,Piikkio,,FIN,FIN,"5' 11""",179,True,False,False,False,L,Y,2021020655,8,Left Wing
8474141,Patrick Kane,/api/v1/people/8474141,Patrick,Kane,88,1988-11-19,33,Buffalo,NY,USA,USA,"5' 10""",177,True,True,False,False,L,Y,2021020655,16,Right Wing
8475279,Ben Chiarot,/api/v1/people/8475279,Ben,Chiarot,8,1991-05-09,31,Hamilton,ON,CAN,CAN,"6' 3""",234,True,True,False,False,L,Y,2021020655,8,Defenseman
8477330,Dominik Kubalik,/api/v1/people/8477330,Dominik,Kubalik,8,1995-08-21,27,Plzen,,CZE,CZE,"6' 2""",179,True,False,False,False,L,Y,2021020655,16,Left Wing
8477494,Jonathan Drouin,/api/v1/people/8477494,Jonathan,Drouin,92,1995-03-28,27,Ste-Agathe,QC,CAN,CAN,"6' 0""",203,True,False,False,False,L,Y,2021020655,8,Left Wing
8475792,Brett Connolly,/api/v1/people/8475792,Brett,Connolly,20,1992-05-02,30,Campbell River,BC,CAN,CAN,"6' 3""",198,True,False,False,False,R,Y,2021020655,16,Right Wing
8481540,Cole Caufield,/api/v1/people/8481540,Cole,Caufield,22,2001-01-02,21,Mosinee,WI,USA,USA,"5' 7""",166,True,False,False,True,R,Y,2021020655,8,Right Wing
