,id,fullName,teamID
0,8470966,Mark Giordano,10
1,8476905,Chandler Stephenson,54
2,8474149,Evgenii Dadonov,8
3,8477938,Haydn Fleury,14
4,8475913,Mark Stone,54
5,8479718,Alex Barré-Boulet,14
6,8474565,Alex Pietrangelo,54
7,8475831,Philipp Grubauer,55
8,8479639,Dylan Coghlan,12
9,8475215,Robin Lehner,54
10,8478407,Vince Dunn,55
11,8476448,William Karlsson,54
12,8477955,Jared McCann,55
13,8475188,Brayden McNabb,54
14,8478434,Keegan Kolesar,54
15,8479987,Morgan Geekie,55
16,8477369,Carson Soucy,55
17,8474157,Max Pacioretty,12
18,8478891,Mason Appleton,52
19,8480727,Zach Whitecloud,54
20,8479980,Nicolas Hague,54
21,8480225,Jack Dugan,1
22,8475768,Jaden Schwartz,55
23,8476539,Jonathan Marchessault,54
24,8476457,Adam Larsson,55
25,8477987,Ryan Donato,55
26,8475820,Joonas Donskoi,55
27,8475149,Marcus Johansson,15
28,8477447,Shea Theodore,54
29,8477505,Alex Wennberg,55
30,8477406,Mattias Janmark,22
31,8479414,Nathan Bastian,1
32,8475772,Riley Sheahan,7
33,8478840,Will Borgen,55
34,8481604,Pavel Dorofeyev,54
35,8474586,Jordan Eberle,55
36,8476467,Jamie Oleksiak,55
37,8478468,Jeremy Lauzon,18
38,8479974,Nolan Patrick,54
39,8477478,William Carrier,54
40,8474166,Alec Martinez,54
41,8475191,Reilly Smith,54
42,8479293,Brandon Tanev,55
43,8481522,Peyton Krebs,7
44,8481580,Connor McMichael,15
45,8471817,Ryan Reaves,3
46,8474602,Justin Schultz,15
47,8477839,Conor Sheary,15
48,8475797,Jarred Tinordi,3
49,8476624,Barclay Goodrow,3
50,8471214,Alex Ovechkin,15
51,8471698,T.J. Oshie,15
52,8482109,Alexis Lafrenière,3
53,8475200,Dmitry Orlov,15
54,8475343,Nic Dowd,15
55,8479324,Ryan Lindgren,3
56,8475184,Chris Kreider,3
57,8474590,John Carlson,15
58,8478550,Artemi Panarin,3
59,8479323,Adam Fox,3
60,8478211,Dryden Hunt,3
61,8474176,Carl Hagelin,15
62,8481554,Kaapo Kakko,3
63,8482148,Hendrix Lapierre,15
64,8480382,Alexandar Georgiev,3
65,8477903,Garnet Hathaway,15
66,8475625,Matt Irwin,15
67,8475747,Patrik Nemeth,3
68,8475324,Nick Jensen,15
69,8476458,Ryan Strome,3
70,8476459,Mika Zibanejad,3
71,8479328,Julien Gauthier,3
72,8475744,Evgeny Kuznetsov,15
73,8477845,Trevor van Riemsdyk,15
74,8478104,Sammy Blais,3
75,8479359,Beck Malenstyn,15
76,8478466,Daniel Sprong,55
77,8480878,Nils Lundkvist,3
78,8476885,Jacob Trouba,3
79,8477511,Anthony Mantha,15
80,8479333,Libor Hajek,3
81,8474189,Lars Eller,15
82,8476880,Tom Wilson,15
83,8477970,Vitek Vanecek,15
84,8480817,K'Andre Miller,3
85,8480078,Filip Chytil,3
86,8480796,Martin Fehervary,15
87,8479291,Kevin Rooney,3
88,8480070,Ian Mitchell,16
89,8481186,Logan O'Connor,21
90,8471794,Darren Helm,21
91,8471677,Jack Johnson,21
92,8478874,Adam Gaudette,9
93,8477444,Andre Burakovsky,21
94,8479404,Henrik Borgstrom,16
95,8474870,Tyler Johnson,16
96,8476850,Ryan Murray,21
97,8477501,Valeri Nichushkin,21
98,8476455,Gabriel Landeskog,21
99,8477126,Jayson Megna,21
100,8480846,Sampo Ranta,21
101,8479542,Brandon Hagel,14
102,8479388,Riley Stillman,16
103,8481618,Alex Newhook,21
104,8476473,Connor Murphy,16
