"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"548","Connor McDavid","EDM","C","56","937.91666666667","19","37","28","9","56","87.50","129","14.73","14.62","205","170","146","69","4","15","16","8","8","0","0","28","33","31","58","77","22","298","313","48.77"
"590","Mitchell Marner","TOR","R","55","878.31666666667","17","28","20","8","45","83.33","103","16.50","10.61","186","137","134","43","6","16","16","8","8","0","0","10","52","41","19","45","34","0","1","0.00"
"644","Auston Matthews","TOR","C","52","866.35","28","16","13","3","44","81.48","159","17.61","17.34","252","217","200","98","3","17","8","4","4","0","0","13","41","40","56","57","39","401","367","52.21"
"476","Leon Draisaitl","EDM","C","56","910.03333333333","13","27","14","13","40","72.73","78","16.67","6.37","144","104","78","24","5","4","18","9","9","0","0","10","50","55","35","82","10","358","295","54.82"
"58","Brad Marchand","BOS","C, L","53","690.31666666667","16","22","12","10","38","82.61","88","18.18","8.54","134","110","82","40","4","8","42","21","21","0","0","15","29","32","47","42","9","7","20","25.93"
"250","Mark Stone","VGK","R","55","764","14","23","17","6","37","75.51","66","21.21","7.76","109","92","79","33","2","7","26","9","7","2","0","8","19","46","28","49","26","10","16","38.46"
"300","Mark Scheifele","WPG","C","56","916.13333333333","13","24","12","12","37","84.09","78","16.67","9.63","122","100","90","46","1","11","8","4","4","0","0","14","31","40","29","93","35","291","314","48.10"
"97","Patrick Kane","CHI","R","55","929.06666666667","11","24","15","9","35","74.47","122","9.02","8.45","204","148","113","26","6","9","14","7","7","0","0","5","34","24","10","47","13","2","3","40.00"
"556","Mikko Rantanen","COL","R","52","785.25","18","17","9","8","35","67.31","107","16.82","10.82","199","152","118","51","3","14","20","10","10","0","0","14","14","26","22","60","17","28","24","53.85"
"569","Mathew Barzal","NYI","C","55","832.46666666667","15","20","10","10","35","71.43","107","14.02","10.63","164","135","125","58","7","6","32","15","15","0","0","16","38","27","20","63","11","134","174","43.51"
"437","Nathan MacKinnon","COL","C","48","731.78333333333","8","26","20","6","34","70.83","127","6.30","10.35","236","178","128","36","5","15","35","11","9","1","1","22","19","14","29","41","13","205","217","48.58"
"618","Kirill Kaprizov","MIN","L","55","767.56666666667","16","18","13","5","34","89.47","99","16.16","9.21","185","150","96","42","4","11","12","6","6","0","0","23","31","24","28","55","18","2","14","12.50"
"102","Max Pacioretty","VGK","L","48","683.58333333333","13","20","12","8","33","73.33","115","11.30","10.58","192","160","115","47","7","11","12","6","6","0","0","7","14","12","32","59","28","11","13","45.83"
"413","Oliver Bjorkstrand","CBJ","R","56","837.6","14","19","13","6","33","86.84","103","13.59","8.74","177","147","90","35","6","9","8","3","3","0","0","2","24","36","39","87","29","2","4","33.33"
"757","Jason Robertson","DAL","L","51","700.76666666667","13","20","16","4","33","76.74","104","12.50","8.34","158","126","87","42","4","8","14","7","7","0","0","7","22","16","26","52","13","5","2","71.43"
"295","Gabriel Landeskog","COL","L","54","812.46666666667","9","23","7","16","32","68.09","104","8.65","10.85","185","148","123","55","6","18","24","12","12","0","0","12","24","15","75","67","25","219","159","57.94"
"314","Jonathan Marchessault","VGK","C","55","767.61666666667","13","19","13","6","32","86.49","117","11.11","11.28","236","167","127","40","7","19","27","12","11","1","0","12","17","26","38","51","13","36","45","44.44"
"408","Pavel Buchnevich","NYR","R","54","720.36666666667","13","19","11","8","32","82.05","91","14.29","7.65","156","120","86","34","4","10","32","9","6","2","1","12","32","21","41","58","21","3","11","21.43"
"160","Evander Kane","S.J","L","56","809.55","12","19","12","7","31","75.61","131","9.16","11.49","224","178","130","55","6","23","34","17","17","0","0","14","25","21","90","56","19","16","20","44.44"
"438","Aleksander Barkov","FLA","C","50","710.21666666667","15","16","12","4","31","83.78","116","12.93","11.94","170","148","120","55","3","7","12","6","6","0","0","14","16","35","26","68","31","365","326","52.82"
"544","Kyle Connor","WPG","L","56","812.13333333333","16","15","10","5","31","79.49","97","16.49","10.42","180","133","132","48","6","8","12","6","6","0","0","9","22","33","16","48","17","5","4","55.56"
"606","Artemi Panarin","NYR","L","42","611.88333333333","9","22","14","8","31","93.94","58","15.52","4.77","115","88","65","13","3","4","4","2","2","0","0","7","23","17","9","18","6","0","1","0.00"
"157","John Tavares","TOR","C","56","811.23333333333","11","19","11","8","30","81.08","114","9.65","11.57","189","148","142","62","7","12","12","6","6","0","0","13","48","30","44","75","26","368","305","54.68"
